source,target,value
娛樂Apple派,旁白鴿,0
吃喝玩樂看Apple,旁白鴿,0
爽AAAA,旁白鴿,0
AppleBBAAAA 台灣,旁白鴿,0
飲食男女 台灣,旁白鴿,0
Apple國際,旁白鴿,0
Apple動未條,旁白鴿,0
Apple陪審團,旁白鴿,0
Apple跑跳碰,旁白鴿,0
科技Apple派,旁白鴿,0
劉方慈 Crystal Liu,旁白鴿,0
李至正,旁白鴿,0
四月桐-April,旁白鴿,0
真心白木 成 柏慎,旁白鴿,0
壹電視嬌主播 陳姿利,旁白鴿,0
亨利市,旁白鴿,0
娛樂Apple派,爽AAAA,0
吃喝玩樂看Apple,爽AAAA,0
旁白鴿,爽AAAA,0
AppleBBAAAA 台灣,爽AAAA,0
飲食男女 台灣,爽AAAA,0
宅女小紅,爽AAAA,0
Apple地產月刊,爽AAAA,0
Apple國際,爽AAAA,0
AppleBBAAAA即時News,爽AAAA,0
Apple動未條,爽AAAA,0
Apple陪審團,爽AAAA,0
Apple跑跳碰,爽AAAA,0
科技Apple派,爽AAAA,0
Apple地產王,爽AAAA,0
台灣音樂書寫團隊,爽AAAA,0
美食天王-AppleBBAAAA,爽AAAA,0
News主播 & 記者 粉絲團 News Anchor & Reporter,爽AAAA,0
Rosy clouds 專業代購,爽AAAA,0
對白有深度點好嗎?,爽AAAA,0
你為什麼要檢舉我,爽AAAA,0
Nexdoor | 宇軒數位,爽AAAA,0
BB行一善,爽AAAA,0
101Dr.健康e情AAAA,爽AAAA,0
娱乐最前线,爽AAAA,0
希望工程,爽AAAA,0
泡菜公主的粉絲塗鴉團,爽AAAA,0
樹屋旅店 The Tree House Design Hotel,爽AAAA,0
【3c冉女人】主播王又冉的媽咪時尚-小葵媽,爽AAAA,0
壹電視 Next TVNews部,爽AAAA,0
MOD粉絲團,爽AAAA,0
中央社就給你「國際News」,爽AAAA,0
永康頭殼秀,爽AAAA,0
你手為什麼要那麼賤呢?,爽AAAA,0
王哥,爽AAAA,0
不3不4 D-奇幻魅影全像世界大展,爽AAAA,0
我愛中港（竹南、頭份、後龍、造橋、三灣、南庄、峨眉、北埔）新竹州竹南郡 淡水廳中港堡,爽AAAA,0
娛樂Apple派,吃喝玩樂看Apple,0
爽AAAA,吃喝玩樂看Apple,0
AppleBBAAAA 台灣,吃喝玩樂看Apple,0
飲食男女 台灣,吃喝玩樂看Apple,0
飲食男女,吃喝玩樂看Apple,0
毛愛Apple,吃喝玩樂看Apple,0
Apple國際,吃喝玩樂看Apple,0
AppleBBAAAA即時News,吃喝玩樂看Apple,0
Apple動未條,吃喝玩樂看Apple,0
Apple陪審團,吃喝玩樂看Apple,0
科技Apple派,吃喝玩樂看Apple,0
Apple地產王,吃喝玩樂看Apple,0
張允曦小8,吃喝玩樂看Apple,0
筱蕾（陳筱蕾）,吃喝玩樂看Apple,0
內子宮崎葵,吃喝玩樂看Apple,0
張喬菲,吃喝玩樂看Apple,0
帕莎蒂娜國際餐飲事業,吃喝玩樂看Apple,0
Kevin老師,吃喝玩樂看Apple,0
饕客送 Taokesong 美食外送,吃喝玩樂看Apple,0
EZTABLE 簡單桌 - 預訂美好用餐時光,吃喝玩樂看Apple,0
Ruby 劉馨如,吃喝玩樂看Apple,0
娱乐最前线,吃喝玩樂看Apple,0
溫紳,吃喝玩樂看Apple,0
林莉婷,吃喝玩樂看Apple,0
台北好生活,吃喝玩樂看Apple,0
Ruby 林芊秀,吃喝玩樂看Apple,0
哈妮.小草莓.謝依珊,吃喝玩樂看Apple,0
上海鄉村,吃喝玩樂看Apple,0
相機美人,吃喝玩樂看Apple,0
小豬寶の悠遊記,吃喝玩樂看Apple,0
吃喝玩樂看Apple,娛樂Apple派,0
爽AAAA,娛樂Apple派,0
旁白鴿,娛樂Apple派,0
AppleBBAAAA 台灣,娛樂Apple派,0
飲食男女 台灣,娛樂Apple派,0
修杰楷,娛樂Apple派,0
Apple國際,娛樂Apple派,0
AppleBBAAAA即時News,娛樂Apple派,0
Apple動未條,娛樂Apple派,0
Apple陪審團,娛樂Apple派,0
Apple余艾苔,娛樂Apple派,0
Apple跑跳碰,娛樂Apple派,0
科技Apple派,娛樂Apple派,0
Apple地產王,娛樂Apple派,0
Apple搖錢樹,娛樂Apple派,0
苗．春祭 Sprouts Art Festival,娛樂Apple派,0
動News旁白哥好強大~AAAA導,娛樂Apple派,0
翻滾吧! 男人,娛樂Apple派,0
侯彥西,娛樂Apple派,0
舒子晨Nikita,娛樂Apple派,0
黃豪平,娛樂Apple派,0
張允曦小8,娛樂Apple派,0
IT'S SAM 伊斯山造型,娛樂Apple派,0
朱芯儀,娛樂Apple派,0
Melody時尚媽咪,娛樂Apple派,0
王子 邱勝翊,娛樂Apple派,0
Lulu 黃路梓茵,娛樂Apple派,0
明天記得愛上我 Will You Still Love Me Tomorrow?,娛樂Apple派,0
CHOCOLABS 可口APP研究室,娛樂Apple派,0
大元,娛樂Apple派,0
Circus香港專屬後援會,娛樂Apple派,0
Jerry Yan (言承旭),娛樂Apple派,0
客房服務Room Service Taiwan,娛樂Apple派,0
施文彬,娛樂Apple派,0
尹莉(BoBo)官方粉絲團,娛樂Apple派,0
安于晴Charlene,娛樂Apple派,0
翁滋蔓 Smire Tzymann,娛樂Apple派,0
張喬菲,娛樂Apple派,0
簡亞當 Adam's talk,娛樂Apple派,0
Coara黃安若,娛樂Apple派,0
歐小憲,娛樂Apple派,0
舞力全開,娛樂Apple派,0
旅行應援團,娛樂Apple派,0
張嘉雲 - 花花,娛樂Apple派,0
我是救星｜You are the NEXT,娛樂Apple派,0
寶靈魔法學院,娛樂Apple派,0
劉方慈 Crystal Liu,娛樂Apple派,0
宥是一個好聲音 林宥嘉後援會,娛樂Apple派,0
甜心虎牙-陳伊,娛樂Apple派,0
邱偲琹Ally,娛樂Apple派,0
王晴 Serene,娛樂Apple派,0
華視娛樂show,娛樂Apple派,0
曾雅蘭,娛樂Apple派,0
陳 薇,娛樂Apple派,0
成語蕎 Jenny Cheng,娛樂Apple派,0
何戎 Kelly 的幸福大平台,娛樂Apple派,0
李詠嫻  Jackie Lee,娛樂Apple派,0
完美先生"宥勝",娛樂Apple派,0
阿布 & 米雪兒 幸福布二家,娛樂Apple派,0
曾奕翔,娛樂Apple派,0
韋佳宏 (野獸),娛樂Apple派,0
御水 Hydro Mode 美顏體雕,娛樂Apple派,0
群星瑞智 Star Ritz,娛樂Apple派,0
大喇叭來了,娛樂Apple派,0
百鴻娛樂,娛樂Apple派,0
楊銘威,娛樂Apple派,0
王建復 Jeff Wang - 瘋建幫,娛樂Apple派,0
大久保麻梨子 Okubo Mariko,娛樂Apple派,0
永遠的大玩偶~阿西陳博正,娛樂Apple派,0
關韶文,娛樂Apple派,0
左左右右Zony&Yony,娛樂Apple派,0
必Po TV,娛樂Apple派,0
紀艾希 Ring,娛樂Apple派,0
管麟 Peter,娛樂Apple派,0
八三夭阿電,娛樂Apple派,0
全球大悶鍋,娛樂Apple派,0
最完美的女孩,娛樂Apple派,0
雙胞胎 依依佩佩  的 依依,娛樂Apple派,0
健忘村 The Village of No Return,娛樂Apple派,0
糖妹 Kandy,娛樂Apple派,0
藍心湄 Hsin-Mei Lan,娛樂Apple派,0
Phei Yong 培永,娛樂Apple派,0
黃健瑋,娛樂Apple派,0
楊謹華 Cheryl,娛樂Apple派,0
Candy.mai 麥,娛樂Apple派,0
HORIEN 5℃天然無氣泡蘇打水,娛樂Apple派,0
周定緯 Judy Chou,娛樂Apple派,0
Paul與咪咪的朱式會社,娛樂Apple派,0
維娜-李萱verna,娛樂Apple派,0
Innovate 專業頭皮養護,娛樂Apple派,0
楊皓如,娛樂Apple派,0
陳彥佐（小花）,娛樂Apple派,0
Aimee Yun Yun Sun 孫芸芸,娛樂Apple派,0
簡立喆主播,娛樂Apple派,0
壹電視 Next TVNews部,娛樂Apple派,0
MOD粉絲團,娛樂Apple派,0
Yilin愛戀瑜珈,娛樂Apple派,0
仔仔周渝民,娛樂Apple派,0
許仁杰國際論壇★熊熊專屬遊樂園,娛樂Apple派,0
楊一展粉絲後援會 Weber Yang International Fans Club,娛樂Apple派,0
LOLLIPOP_F歌迷會,娛樂Apple派,0
苗可麗後援會,娛樂Apple派,0
滾石唱片 - 馬來西亞 Rock Records Malaysia,娛樂Apple派,0
惡男BB記 Bad Boys’ Diary,娛樂Apple派,0
我愛中港（竹南、頭份、後龍、造橋、三灣、南庄、峨眉、北埔）新竹州竹南郡 淡水廳中港堡,娛樂Apple派,0
壹顆Apple,娛樂Apple派,0
『有酒窩的lulu貓 雜貨鋪 』串門文化,娛樂Apple派,0
娛樂Apple派,AppleBBAAAA 台灣,0
吃喝玩樂看Apple,AppleBBAAAA 台灣,0
爽AAAA,AppleBBAAAA 台灣,0
旁白鴿,AppleBBAAAA 台灣,0
飲食男女 台灣,AppleBBAAAA 台灣,0
飲食男女,AppleBBAAAA 台灣,0
銘AAAAmol即時News,AppleBBAAAA 台灣,0
Apple地產月刊,AppleBBAAAA 台灣,0
Apple圖解News│Apple360,AppleBBAAAA 台灣,0
修杰楷,AppleBBAAAA 台灣,0
我得了一種吃菜就會死的病-微疼,AppleBBAAAA 台灣,0
壹週刊,AppleBBAAAA 台灣,0
Apple國際,AppleBBAAAA 台灣,0
AppleBBAAAA即時News,AppleBBAAAA 台灣,0
Apple動未條,AppleBBAAAA 台灣,0
Apple愛逗陣行,AppleBBAAAA 台灣,0
Apple陪審團,AppleBBAAAA 台灣,0
Apple余艾苔,AppleBBAAAA 台灣,0
Apple跑跳碰,AppleBBAAAA 台灣,0
科技Apple派,AppleBBAAAA 台灣,0
Apple地產王,AppleBBAAAA 台灣,0
Apple搖錢樹,AppleBBAAAA 台灣,0
茉莉花園,AppleBBAAAA 台灣,0
聶永真 Aaron Nieh,AppleBBAAAA 台灣,0
覺醒音樂祭 Wake Up Festival,AppleBBAAAA 台灣,0
動News旁白哥好強大~AAAA導,AppleBBAAAA 台灣,0
蔡正元,AppleBBAAAA 台灣,0
愛 LOVE,AppleBBAAAA 台灣,0
SSU大專學生運動網,AppleBBAAAA 台灣,0
曾莞婷,AppleBBAAAA 台灣,0
許維恩,AppleBBAAAA 台灣,0
侯昌明,AppleBBAAAA 台灣,0
美食天王-AppleBBAAAA,AppleBBAAAA 台灣,0
吳怡霈(Patty),AppleBBAAAA 台灣,0
超犀利趴,AppleBBAAAA 台灣,0
CHOCOLABS 可口APP研究室,AppleBBAAAA 台灣,0
楊千霈 Pink Yang,AppleBBAAAA 台灣,0
China Airlines 中華航空,AppleBBAAAA 台灣,0
壹起發財,AppleBBAAAA 台灣,0
壹傳媒工會 Next Media Trade Union,AppleBBAAAA 台灣,0
香港AppleBBAAAA,AppleBBAAAA 台灣,0
News主播 & 記者 粉絲團 News Anchor & Reporter,AppleBBAAAA 台灣,0
中央社News粉絲團,AppleBBAAAA 台灣,0
Deanna Guidedog 導盲犬,AppleBBAAAA 台灣,0
謝金燕 Jeannie,AppleBBAAAA 台灣,0
OUI are family．會星堂,AppleBBAAAA 台灣,0
李騰 Lee Teng,AppleBBAAAA 台灣,0
客房服務Room Service Taiwan,AppleBBAAAA 台灣,0
娛果 - Apple娛樂,AppleBBAAAA 台灣,0
Newse論壇,AppleBBAAAA 台灣,0
兩岸NewsAAAA導獎,AppleBBAAAA 台灣,0
就是愛銘傳,AppleBBAAAA 台灣,0
銘傳大學大傳系海青班2010,AppleBBAAAA 台灣,0
翻面映畫 ,AppleBBAAAA 台灣,0
貓爵 Duke of Cat,AppleBBAAAA 台灣,0
羅雷集團,AppleBBAAAA 台灣,0
尹莉(BoBo)官方粉絲團,AppleBBAAAA 台灣,0
中區國稅局  稅務e吉棒,AppleBBAAAA 台灣,0
嘉義市長涂醒哲,AppleBBAAAA 台灣,0
中華民國自行車騎士協會 Taiwan Cyclist Federation,AppleBBAAAA 台灣,0
宋楚瑜找朋友,AppleBBAAAA 台灣,0
立法委員 黃偉哲,AppleBBAAAA 台灣,0
元大愛無限,AppleBBAAAA 台灣,0
金穗獎／優良劇本獎／短片輔導金,AppleBBAAAA 台灣,0
張喬菲,AppleBBAAAA 台灣,0
飛利冰 Feilibing IceQueen,AppleBBAAAA 台灣,0
簡亞當 Adam's talk,AppleBBAAAA 台灣,0
pb+運動平台,AppleBBAAAA 台灣,0
梁洳瑄 Bonnie,AppleBBAAAA 台灣,0
觸電網- True Movie電影情AAAA入口網,AppleBBAAAA 台灣,0
馮光遠,AppleBBAAAA 台灣,0
社團法人中華小腦萎縮症病友協會,AppleBBAAAA 台灣,0
公益訊息張貼牆,AppleBBAAAA 台灣,0
台灣啤酒棒球隊,AppleBBAAAA 台灣,0
足球家族,AppleBBAAAA 台灣,0
快感數位行銷 Turn-On Digital Marketing,AppleBBAAAA 台灣,0
歐小憲,AppleBBAAAA 台灣,0
推守文化,AppleBBAAAA 台灣,0
李杏,AppleBBAAAA 台灣,0
屏東小鎮資訊,AppleBBAAAA 台灣,0
王凱 Kai Wang,AppleBBAAAA 台灣,0
Oguma【水美媒噴年輕】幸福農場,AppleBBAAAA 台灣,0
張嘉雲 - 花花,AppleBBAAAA 台灣,0
蘇菲雅婚紗攝影 Sophia Wedding Studio,AppleBBAAAA 台灣,0
DailyView 網路溫度計,AppleBBAAAA 台灣,0
阿兜仔不教美語 (黑素斯Jesus),AppleBBAAAA 台灣,0
大將軍豪洨專區-什麼都聊廢文區,AppleBBAAAA 台灣,0
王晴 Serene,AppleBBAAAA 台灣,0
邱瓈寬,AppleBBAAAA 台灣,0
廢物女友,AppleBBAAAA 台灣,0
林妍柔,AppleBBAAAA 台灣,0
邱志宇 Oscar Chiu,AppleBBAAAA 台灣,0
芳瑜 FiSha Lee,AppleBBAAAA 台灣,0
Rosy clouds 專業代購,AppleBBAAAA 台灣,0
陸元琪,AppleBBAAAA 台灣,0
成語蕎 Jenny Cheng,AppleBBAAAA 台灣,0
林嘉綺 Patina Lin,AppleBBAAAA 台灣,0
迷徒chloe,AppleBBAAAA 台灣,0
對白有深度點好嗎?,AppleBBAAAA 台灣,0
你為什麼要檢舉我,AppleBBAAAA 台灣,0
星不了情,AppleBBAAAA 台灣,0
大愛劇場DaAi Drama,AppleBBAAAA 台灣,0
李詠嫻  Jackie Lee,AppleBBAAAA 台灣,0
阿布 & 米雪兒 幸福布二家,AppleBBAAAA 台灣,0
焦糖 陳嘉行,AppleBBAAAA 台灣,0
黃遠Huang,Yuan,AppleBBAAAA 台灣,0
米可白,AppleBBAAAA 台灣,0
群星瑞智 Star Ritz,AppleBBAAAA 台灣,0
李鎮宇 Lucien,AppleBBAAAA 台灣,0
劉逸達 Eada,AppleBBAAAA 台灣,0
台灣妞韓國媳,AppleBBAAAA 台灣,0
楊達敬 Gordon Yang,AppleBBAAAA 台灣,0
喜喜粉絲集團ShiShi  Fans Group,AppleBBAAAA 台灣,0
欣西亞和Shane任翔,AppleBBAAAA 台灣,0
王建復 Jeff Wang - 瘋建幫,AppleBBAAAA 台灣,0
他看她的第2眼,AppleBBAAAA 台灣,0
永遠的大玩偶~阿西陳博正,AppleBBAAAA 台灣,0
高盟傑,AppleBBAAAA 台灣,0
關韶文,AppleBBAAAA 台灣,0
台北貓慘案 全民來AAAA案,AppleBBAAAA 台灣,0
劉香慈國際專屬後援會－香迷天下,AppleBBAAAA 台灣,0
郝慧川,AppleBBAAAA 台灣,0
大吉漢堡食堂,AppleBBAAAA 台灣,0
丁霜語 Vanessa Ding,AppleBBAAAA 台灣,0
管麟 Peter,AppleBBAAAA 台灣,0
可藍 Colleen wei,AppleBBAAAA 台灣,0
陳凱文 Chen Kevin,AppleBBAAAA 台灣,0
Rosie 楊凱琳,AppleBBAAAA 台灣,0
美人幫Beauté,AppleBBAAAA 台灣,0
臺灣街舞藝術協會,AppleBBAAAA 台灣,0
Gino脖子,AppleBBAAAA 台灣,0
藍心湄 Hsin-Mei Lan,AppleBBAAAA 台灣,0
Phei Yong 培永,AppleBBAAAA 台灣,0
李婉鈺的園地,AppleBBAAAA 台灣,0
艋舺 MONGA,AppleBBAAAA 台灣,0
林清華 男性的復仇,AppleBBAAAA 台灣,0
台北捐血中心粉絲團,AppleBBAAAA 台灣,0
璟宣 Elissa,AppleBBAAAA 台灣,0
楊慶煌,AppleBBAAAA 台灣,0
免費資源網路社群,AppleBBAAAA 台灣,0
Nexdoor | 宇軒數位,AppleBBAAAA 台灣,0
EZTABLE 簡單桌 - 預訂美好用餐時光,AppleBBAAAA 台灣,0
潔哥,AppleBBAAAA 台灣,0
BB行一善,AppleBBAAAA 台灣,0
Candy.mai 麥,AppleBBAAAA 台灣,0
Sunny 王陽明,AppleBBAAAA 台灣,0
Dizzy Dizzo 蔡詩芸,AppleBBAAAA 台灣,0
HORIEN 5℃天然無氣泡蘇打水,AppleBBAAAA 台灣,0
美迪亞健康器材,AppleBBAAAA 台灣,0
智慧好程式,AppleBBAAAA 台灣,0
娱乐最前线,AppleBBAAAA 台灣,0
Agnes Lim林莉幃,AppleBBAAAA 台灣,0
喜歡玩各種電動遊戲~Sandy*,AppleBBAAAA 台灣,0
Pang Ho-Cheung 彭浩翔,AppleBBAAAA 台灣,0
Jason 唐志中,AppleBBAAAA 台灣,0
九把刀 Giddens Ko,AppleBBAAAA 台灣,0
維娜-李萱verna,AppleBBAAAA 台灣,0
兒少奸兵-立法偽猿王玉米,AppleBBAAAA 台灣,0
徐巧芯,AppleBBAAAA 台灣,0
吳怡萱,AppleBBAAAA 台灣,0
希望工程,AppleBBAAAA 台灣,0
北區50嵐公益園地,AppleBBAAAA 台灣,0
黃耀明 Anthony Wong,AppleBBAAAA 台灣,0
蘇小軒 Xiao Xuan Su,AppleBBAAAA 台灣,0
大人物 慈善攝影展,AppleBBAAAA 台灣,0
巴逆逆-小廢廢的吃土BB記,AppleBBAAAA 台灣,0
Innovate 專業頭皮養護,AppleBBAAAA 台灣,0
陳彥佐（小花）,AppleBBAAAA 台灣,0
羅平 Atif Baig,AppleBBAAAA 台灣,0
外景小公主- 謝忻的粉絲團,AppleBBAAAA 台灣,0
海海人生！海豚男！,AppleBBAAAA 台灣,0
國立清水高中管樂社,AppleBBAAAA 台灣,0
雪橇兔愛畫畫,AppleBBAAAA 台灣,0
愛與希望公益交流平台,AppleBBAAAA 台灣,0
讓想像飛躍—波隆納世界插畫大展,AppleBBAAAA 台灣,0
打雜小妹與跩喵喵 Mei&Cat,AppleBBAAAA 台灣,0
覺醒．世代 Awakening GenerationS,AppleBBAAAA 台灣,0
無限期支持連勝文參選總統,AppleBBAAAA 台灣,0
竹大青年覺醒陣線,AppleBBAAAA 台灣,0
時事大小聲,AppleBBAAAA 台灣,0
紙感應援團,AppleBBAAAA 台灣,0
兆緯亂入妳的生活,AppleBBAAAA 台灣,0
北投士林‧王奕凱,AppleBBAAAA 台灣,0
全民監察怨,AppleBBAAAA 台灣,0
台灣護樹團體聯盟,AppleBBAAAA 台灣,0
公民廟口-立委在做天在看,AppleBBAAAA 台灣,0
無限期支持台灣、支持台獨,AppleBBAAAA 台灣,0
台中霸王,AppleBBAAAA 台灣,0
單身狗冏囧,AppleBBAAAA 台灣,0
連署救阿扁 停止政治迫害,AppleBBAAAA 台灣,0
無限期支持柯震東,AppleBBAAAA 台灣,0
火葬場滾出後龍自救會 臉書應援團,AppleBBAAAA 台灣,0
彰濱秀傳社工課,AppleBBAAAA 台灣,0
主播 黃文華,AppleBBAAAA 台灣,0
【3c冉女人】主播王又冉的媽咪時尚-小葵媽,AppleBBAAAA 台灣,0
簡立喆主播,AppleBBAAAA 台灣,0
壹電視 Next TVNews部,AppleBBAAAA 台灣,0
中華民國 兒童權益促進協會,AppleBBAAAA 台灣,0
PO News,AppleBBAAAA 台灣,0
鄭韶婕 cheng SHAO chieh,AppleBBAAAA 台灣,0
Yahoo奇摩3C科技,AppleBBAAAA 台灣,0
亨利市,AppleBBAAAA 台灣,0
台灣兒童少年希望協會,AppleBBAAAA 台灣,0
孩子的書屋,AppleBBAAAA 台灣,0
得來素蔬食連鎖餐飲,AppleBBAAAA 台灣,0
真實謊言,AppleBBAAAA 台灣,0
洪銘蔚 - ミンミン賽車魂逐夢進行式,AppleBBAAAA 台灣,0
Yilin愛戀瑜珈,AppleBBAAAA 台灣,0
混血妞 Sora 林酉芯,AppleBBAAAA 台灣,0
智慧社區雲管家,AppleBBAAAA 台灣,0
香港資訊站 Hong Kong Info Station,AppleBBAAAA 台灣,0
阿平漫畫,AppleBBAAAA 台灣,0
Making Film 正在電影,AppleBBAAAA 台灣,0
幸福鳥咖啡,AppleBBAAAA 台灣,0
台視News 鄔凱雯,AppleBBAAAA 台灣,0
菲月藝能傳播,AppleBBAAAA 台灣,0
繽紛星球.Colorful Planet,AppleBBAAAA 台灣,0
做個內心強大的人,AppleBBAAAA 台灣,0
爆料中心,AppleBBAAAA 台灣,0
劉依純粉絲團,AppleBBAAAA 台灣,0
油董的家,AppleBBAAAA 台灣,0
美姬ㄚ姨,AppleBBAAAA 台灣,0
Dream Ink Tattoo印可兩週紋身,AppleBBAAAA 台灣,0
陳思婷-艾思莉亞,AppleBBAAAA 台灣,0
台北好生活,AppleBBAAAA 台灣,0
瑭宜 TangYi,AppleBBAAAA 台灣,0
Dermaviduals  德妍思    德國原裝進口,AppleBBAAAA 台灣,0
輔大金剛狼邱柏學,AppleBBAAAA 台灣,0
Jennifer Lin 歌手珍妮佛,AppleBBAAAA 台灣,0
靖娟志工團,AppleBBAAAA 台灣,0
宜蘭優質民宿-真水蘭陽白鷺鷥resort,AppleBBAAAA 台灣,0
陽明山天籟渡假酒店,AppleBBAAAA 台灣,0
CKB LIVE 成功電台,AppleBBAAAA 台灣,0
富士電視台,AppleBBAAAA 台灣,0
仔仔周渝民,AppleBBAAAA 台灣,0
劉樂妍,AppleBBAAAA 台灣,0
工商時AAAA,AppleBBAAAA 台灣,0
你手為什麼要那麼賤呢?,AppleBBAAAA 台灣,0
郭宗坤,AppleBBAAAA 台灣,0
顏力妃,AppleBBAAAA 台灣,0
痞子英雄，三聯會臨海酒吧,AppleBBAAAA 台灣,0
傑夫の燒肉,AppleBBAAAA 台灣,0
Herma萬人迷,AppleBBAAAA 台灣,0
贏家數位學院,AppleBBAAAA 台灣,0
台灣大車隊 TaiwanTaxi 粉絲團,AppleBBAAAA 台灣,0
張建聲 Justin Cheung,AppleBBAAAA 台灣,0
KISS DJ 強尼,AppleBBAAAA 台灣,0
青村白皮書-大專生洄游農村計畫,AppleBBAAAA 台灣,0
相機美人,AppleBBAAAA 台灣,0
愛台灣媒體行銷資訊站,AppleBBAAAA 台灣,0
Becky 貝可儀,AppleBBAAAA 台灣,0
亨姆姆,AppleBBAAAA 台灣,0
不3不4 D-奇幻魅影全像世界大展,AppleBBAAAA 台灣,0
旅遊不1樣,AppleBBAAAA 台灣,0
NGO 國際參與成果展,AppleBBAAAA 台灣,0
台南恩友 窮人朋友,AppleBBAAAA 台灣,0
公民社會流,AppleBBAAAA 台灣,0
小資欣妮’ｓ看屋BB誌,AppleBBAAAA 台灣,0
春風商號,AppleBBAAAA 台灣,0
默站 Standing Man,AppleBBAAAA 台灣,0
Foodiary 蔡蔡美食BB記,AppleBBAAAA 台灣,0
大買家網路量販店,AppleBBAAAA 台灣,0
陳世念,AppleBBAAAA 台灣,0
後壁高中校友會,AppleBBAAAA 台灣,0
馮云,AppleBBAAAA 台灣,0
R2義麵小棧-天母店,AppleBBAAAA 台灣,0
香港農業  自給自足,AppleBBAAAA 台灣,0
梁齊昕非官方國際後援會,AppleBBAAAA 台灣,0
博碩文化 DrMaster,AppleBBAAAA 台灣,0
Phimedia 通泰媒體,AppleBBAAAA 台灣,0
公共電視視百年民與國,AppleBBAAAA 台灣,0
「我在中國」(Co-China)論壇,AppleBBAAAA 台灣,0
戰浪 A Town Called Success,AppleBBAAAA 台灣,0
Finchley 客製娃娃鞋,AppleBBAAAA 台灣,0
Taipei Soul Brothers ,AppleBBAAAA 台灣,0
風起Uprisings,AppleBBAAAA 台灣,0
大內藝術特區 Taipei Art District,AppleBBAAAA 台灣,0
壹顆Apple,AppleBBAAAA 台灣,0
